City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Boyolangu,ID,74.44,broken clouds,-8.1181,111.8935,Yos ega cv
219,Trairi,BR,78.84,few clouds,-3.2778,-39.2689,janelas do mar
222,Gazojak,TM,73.22,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
223,Bahia Blanca,AR,68.85,broken clouds,-38.7196,-62.2724,Hotel Argos
224,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
226,East London,ZA,66.54,scattered clouds,-33.0153,27.9116,Tu Casa
228,Ofaqim,IL,72.73,clear sky,31.3141,34.6203,The Negev Experience
229,Kavieng,PG,83.05,light rain,-2.5744,150.7967,Nusa Island Retreat
230,Hurghada,EG,78.53,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
231,Itarema,BR,79.07,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
233,Rosario,AR,70.83,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
234,Nagapattinam,IN,80.49,moderate rain,10.7667,79.8333,Sathya Lodge
235,Shunyi,CN,66.83,scattered clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
236,Mtwara,TZ,71.91,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
239,Guacimo,CR,84.78,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
242,Bengkulu,ID,75.58,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
247,Fuerte Olimpo,PY,87.62,clear sky,-21.0415,-57.8738,Hospedaje DAMI
248,Puerto Maldonado,PE,92.3,scattered clouds,-12.6,-69.1833,Wasai Hotel
249,Dhadar,IN,82.83,overcast clouds,28.3305,75.0632,ढाढर
250,Trincomalee,LK,81.3,moderate rain,8.5711,81.2335,Welcombe Hotel
254,Pouebo,NC,74.7,scattered clouds,-20.4,164.5667,RIVÂT LODGE
256,Grand-Lahou,CI,76.39,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
258,Katubao,PH,79.81,overcast clouds,5.8892,124.8294,IML Ecopark
262,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
263,Boa Vista,BR,91.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
265,Manono,CD,80.94,overcast clouds,-7.3,27.4167,Hotel hewa bora
266,Cabo San Lucas,MX,93.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
267,Rawson,AR,71.02,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
268,Aswan,EG,80.96,clear sky,24.0934,32.907,Nuba Nile
269,Lora Del Rio,ES,70.68,clear sky,37.659,-5.5275,Autocares Molina Fernandez S.L.
275,San Rafael,AR,82.24,clear sky,-34.6177,-68.3301,Hotel San Rafael
277,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
278,Katherine,AU,73.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
283,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
284,Gunjur,GM,73.47,thunderstorm,13.2019,-16.7339,Kuba Lodge
285,Faanui,PF,78.69,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
287,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
289,Soyo,AO,75.6,overcast clouds,-6.1349,12.3689,Hotel Mpampa
290,Waingapu,ID,73.96,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
293,Pasni,PK,80.49,scattered clouds,25.2631,63.471,Kashmiri Hotal
296,Byron Bay,AU,72.05,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
299,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
301,Mobile,US,80.89,few clouds,30.7835,-88.2,Days Inn by Wyndham North Mobile
303,Kaohsiung,TW,80.04,few clouds,22.6163,120.3133,御宿商旅-中山館
305,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
306,Siocon,PH,78.03,overcast clouds,7.7061,122.1353,ABS Hotel
307,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
309,Yenagoa,NG,73.26,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
310,Turayf,SA,66.45,clear sky,31.6725,38.6637,Turaif
313,Westport,US,73.22,clear sky,41.1415,-73.3579,The Westport Inn
316,Ambilobe,MG,67.01,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
319,Bellegarde-Sur-Valserine,FR,66.54,broken clouds,46.1079,5.8242,Hôtel Pierre Blanche
321,Buraydah,SA,84.65,clear sky,26.326,43.975,فندق راحة السلام
322,Sao Jose De Ribamar,BR,82.78,overcast clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
324,Meulaboh,ID,75.88,overcast clouds,4.1363,96.1285,Kost Pria
328,Parintins,BR,83.34,broken clouds,-2.6283,-56.7358,Cama e Cafe
329,Honiara,SB,83.95,few clouds,-9.4333,159.95,Heritage Park Hotel
333,Hamilton,US,70.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
337,Yeppoon,AU,69.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
338,Nijar,ES,68.65,clear sky,36.9665,-2.206,La Casa del Cine
341,Paka,MY,76.93,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
342,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
343,Maunatlala,BW,68.77,clear sky,-22.597,27.6301,MAUNATHLALA LODGE
344,Senanga,ZM,71.47,clear sky,-16.1167,23.2667,Zango lodge
345,Umm Lajj,SA,82.2,clear sky,25.0213,37.2685,Moon light Furnished Units
346,Piripiri,BR,84.51,overcast clouds,-4.2733,-41.7769,Califórnia Hotel
348,Mana,GF,81.63,few clouds,5.6592,-53.7767,LE SAMANA
353,Ascope,PE,74.16,scattered clouds,-7.7144,-79.1078,agroindustrial casagrande
355,Namatanai,PG,82.49,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
358,Sao Geraldo Do Araguaia,BR,85.14,broken clouds,-6.4006,-48.555,Hotel Por do Sol
362,San Patricio,US,88.52,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
363,Usta Muhammad,PK,87.48,clear sky,28.1794,68.0445,Teshseel Colony
364,Victoria,HK,84.18,scattered clouds,22.2855,114.1577,Mini Hotel Central
365,Kaliganj,BD,77.74,broken clouds,23.4095,89.1402,Hasnat Palace
368,Road Town,VG,86.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
370,Shache,CN,66.04,clear sky,38.4167,77.2406,Delong Hotel
371,Jining,CN,71.01,heavy intensity rain,35.405,116.5814,Yunhe Star Hotel
372,Inhambane,MZ,69.01,clear sky,-23.865,35.3833,Oceano
374,Antalaha,MG,68.16,few clouds,-14.9003,50.2788,Hotel Vitasoa
376,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
377,Valera,VE,80.46,broken clouds,9.3178,-70.6036,Hotel Camino Real
379,Toamasina,MG,69.8,light rain,-18.1667,49.3833,Hotel H1
380,Saint-Pierre,RE,69.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
381,Socorro,US,82.45,broken clouds,31.6546,-106.3033,guarderia imss papalote
382,Balikpapan,ID,76.03,overcast clouds,-1.2675,116.8289,ibis Balikpapan
385,Axim,GH,76.84,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
387,Hervey Bay,AU,71.71,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
391,Vao,NC,68.29,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
393,Kieta,PG,81.81,light rain,-6.2167,155.6333,Uruna Bay Retreat
395,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
398,Tabou,CI,77.07,light rain,4.423,-7.3528,hotêl doufoulougou
399,Circleville,US,69.04,scattered clouds,39.6006,-82.946,"Holiday Inn Express & Suites Circleville, an IHG Hotel"
402,Imaculada,BR,76.84,scattered clouds,-7.3897,-37.5092,kasa de karolll
404,Guangyuan,CN,68.13,moderate rain,32.442,105.823,Guangyuan Poetry Hotel
406,Emerald,AU,68.34,clear sky,-23.5333,148.1667,The Irish Village
407,Richards Bay,ZA,69.93,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
410,Tsiroanomandidy,MG,67.66,broken clouds,-18.7667,46.0333,Hotel du Bongolave
411,Lompoc,US,85.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
412,Eydhafushi,MV,81.21,light rain,5.1033,73.0708,Soneva Fushi
416,Khandbari,NP,69.35,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
417,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
418,Gat,IL,72.81,clear sky,31.61,34.7642,OlusHome
419,Palafrugell,ES,74.71,scattered clouds,41.9174,3.1631,Hotel La Torre
420,Sherghati,IN,80.22,moderate rain,24.5667,84.7833,Birju_sang_kunti_bhaban
421,Hobyo,SO,77.49,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
422,Sinnamary,GF,81.57,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
424,Amahai,ID,77.86,moderate rain,-3.3333,128.9167,HOTEL ISABELA
426,Lexington Park,US,74.1,scattered clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
429,Los Llanos De Aridane,ES,69.55,scattered clouds,28.6585,-17.9182,Valle Aridane
430,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
432,Torrington,US,70.92,few clouds,41.8007,-73.1212,The Yankee Pedlar Inn
434,Karratha,AU,66.38,clear sky,-20.7377,116.8463,ibis Styles Karratha
435,Portland,US,86.45,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
438,Vila Franca Do Campo,PT,74.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
440,Praia Da Vitoria,PT,71.85,overcast clouds,38.7333,-27.0667,Hotel Branco I
443,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
444,Aland,IN,72.55,overcast clouds,17.5667,76.5667,ui
449,Jiwani,PK,80.78,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
450,Progreso,MX,93.31,few clouds,21.2833,-89.6667,Playa Linda Hotel
452,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
453,Crowley,US,82.71,clear sky,30.2141,-92.3746,"Motel 6 Crowley, LA"
454,Miramar,US,84.22,light rain,25.9873,-80.2323,Miramar
457,Tevaitoa,PF,78.53,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
458,Shingu,JP,73.9,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
461,Cabra,ES,68.4,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
463,Madang,PG,79.92,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
464,Wajir,KE,77.18,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
465,Dabakala,CI,73.83,light rain,8.3667,-4.4333,Hôtel Campement
468,Matara,LK,78.12,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
470,Katsuura,JP,71.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
471,Bac Lieu,VN,76.73,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
472,Santa Rosa,PH,82.9,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
475,Pandan,PH,80.46,broken clouds,14.0453,124.1694,Bonifacio Lodge
479,Najran,SA,74.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
480,Palmer,US,73.36,scattered clouds,42.1584,-72.3287,Wedgewood Motel
481,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
482,Banda Aceh,ID,78.42,light rain,5.5577,95.3222,Sulthan Hotel International
484,Domoni,KM,75.61,few clouds,-12.2569,44.5319,Al Djadid
486,Kroya,ID,76.28,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
487,Manta,EC,74.73,scattered clouds,-0.95,-80.7333,Balandra Hotel
489,Millinocket,US,68.41,overcast clouds,45.6573,-68.7098,Katahdin Inn & Suites
490,Xai-Xai,MZ,65.14,clear sky,-25.0519,33.6442,Complexo da Familia
491,Tucurui,BR,82.13,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
494,Alta Floresta,BR,80.74,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
495,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
496,Ardmore,US,90.39,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
497,Puerto Colombia,CO,84.29,broken clouds,10.9878,-74.9547,Hotel El Emigrante
502,Carauari,BR,76.15,overcast clouds,-4.8828,-66.8958,Hotel Fellip
503,Pangkalanbuun,ID,74.03,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
505,Pringsewu,ID,73.47,overcast clouds,-5.3582,104.9744,Urban Style by Front One
507,Banamba,ML,78.28,overcast clouds,13.55,-7.45,Kassela de Banamba
508,Kirakira,SB,83.93,broken clouds,-10.4544,161.9205,SanBiz Lodge
509,Wewak,PG,79.75,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
510,Yanam,IN,77.68,overcast clouds,16.7333,82.2167,The Regency Hotel
513,Aracati,BR,79.3,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
516,Manggar,ID,79.99,overcast clouds,-2.8833,108.2667,Guest Hotel
517,Teshie,GH,73.96,few clouds,5.5836,-0.1072,Adinkra Lodge
518,Turbat,PK,84.09,broken clouds,26.0023,63.044,Mubashar Quarters
520,Princeton,US,84.99,scattered clouds,25.5384,-80.4089,American Best Inn
521,Tateyama,JP,71.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
522,Kampong Thum,KH,74.16,moderate rain,12.7111,104.8887,Sambor Village Hotel
525,Iberia,US,81.99,clear sky,29.9502,-91.7507,back to back rv park
527,Gimli,CA,74.43,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
528,Porec,HR,65.61,scattered clouds,45.2258,13.5939,BO hotel Palazzo
529,Kununurra,AU,66.18,few clouds,-15.7667,128.7333,Hotel Kununurra
539,Jatai,BR,85.28,broken clouds,-17.8814,-51.7144,La Vitre Hotel
540,Ouro Preto Do Oeste,BR,90.59,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
543,Cudahy,US,93.52,smoke,33.9606,-118.1853,SureStay Hotel by Best Western South Gate
545,Buala,SB,83.19,light rain,-8.145,159.5921,Maringe Lagoon Lodge
547,Sharjah,AE,91.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
549,Indramayu,ID,80.28,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
551,Simplicio Mendes,BR,84.58,few clouds,-7.8539,-41.9103,Fidalgo
556,Viransehir,TR,66.92,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
557,Lakki Marwat,PK,89.2,clear sky,32.6079,70.9114,ستاری چائے ہوٹل
558,Karaton,ID,78.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
559,Jishou,CN,74.3,light rain,28.3167,109.7167,7 Days Inn
561,Tubuala,PA,80.33,overcast clouds,9.5167,-79.0333,Río Nabagana
562,Moses Lake,US,83.61,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
563,Hwange,ZW,72.46,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
564,Gizo,SB,82.56,light rain,-8.103,156.8419,Imagination Island
565,Bosaso,SO,89.98,broken clouds,11.2842,49.1816,Red Sea Hotel
566,Naze,JP,76.12,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
568,Azare,NG,77.92,broken clouds,11.6765,10.1948,Muk hostel
570,Caravelas,BR,71.26,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
571,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
572,Khombole,SN,77.81,broken clouds,14.7667,-16.7,Keur serigne Mansour Sy
573,Tamandare,BR,75.51,few clouds,-8.7597,-35.1047,Pousada 100 Passos
575,Muisne,EC,76.3,overcast clouds,0.6,-80.0333,Quinta Samay
576,Ballitoville,ZA,73.17,clear sky,-29.539,31.2144,Hampshire Hotel-Ballito
577,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
578,Lakatoro,VU,78.44,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
580,Chenghai,CN,76.91,few clouds,23.4632,116.768,Guangdong Hotel
581,Hilton Head Island,US,80.71,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
584,Denpasar,ID,76.71,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
586,Biak,ID,75.2,overcast clouds,-0.9131,122.8766,Penginapan Kim
591,Alberdi,AR,70.92,clear sky,-32.8899,-60.6906,Green House.river
592,Middelburg,ZA,65.48,clear sky,-25.7751,29.4648,Oregon Place Guest House
593,Chanika,TZ,66.67,broken clouds,-5.4167,38.0167,New Rombo Green Hotel
596,Pedernales,DO,84.74,few clouds,18.0384,-71.744,Hotel Costa Marina
597,Dakar,SN,80.73,few clouds,14.6937,-17.4441,Redface Studios Meublés
598,Port Keats,AU,77.43,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
599,Nicoya,CR,81.95,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
601,Russell,US,81.97,few clouds,32.3502,-85.1999,Macs
603,Levelland,US,85.19,broken clouds,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
604,Ranchi,IN,75.65,broken clouds,23.35,85.3333,Radisson Blu Hotel Ranchi
606,Kushima,JP,71.64,broken clouds,31.4583,131.2333,Hanaoka
608,Metro,ID,74.21,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
609,Bambari,CF,70.38,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
611,Iranshahr,IR,84.6,clear sky,27.2025,60.6848,نیک سرشت
612,Wajima,JP,67.53,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
614,Monte Santo,BR,72.93,few clouds,-10.4378,-39.3328,Pousada Pingo D'Água
616,Abu Dhabi,AE,91.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
619,Casper,US,85.71,clear sky,42.8666,-106.3131,Ramkota Hotel
620,Kirkuk,IQ,74.62,clear sky,35.4681,44.3922,تل عبدالعزيز
621,Maumere,ID,76.84,broken clouds,-8.6199,122.2111,Sylvia Hotel
623,Pierre,US,85.98,clear sky,44.3683,-100.351,Ramkota Hotel
