City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kilakarai,IN,9.2333,78.7833,81.39,73,98,10.47,overcast clouds
80,Nome,US,64.5011,-165.4064,44.67,76,40,14.97,scattered clouds
81,Motygino,RU,58.1831,94.7592,35.51,94,100,5.37,overcast clouds
82,Aklavik,CA,68.2191,-135.0107,32.61,97,100,17.07,light snow
83,Pokhara,NP,28.2333,83.9833,70.88,82,88,2.35,overcast clouds
84,Cape Town,ZA,-33.9258,18.4232,61.27,86,47,1.99,scattered clouds
85,Lorengau,PG,-2.0226,147.2712,83.12,75,82,6.73,broken clouds
86,Marsh Harbour,BS,26.5412,-77.0636,83.21,69,99,4.81,overcast clouds
87,Chokurdakh,RU,70.6333,147.9167,32.67,98,100,10.96,overcast clouds
88,College,US,64.8569,-147.8028,35.55,89,75,0.0,light snow
89,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.1,74,100,23.11,overcast clouds
90,Forio,IT,40.7342,13.8646,72.45,61,76,5.1,broken clouds
91,Neiafu,TO,-18.65,-173.9833,77.68,50,40,8.05,scattered clouds
92,Geraldton,AU,-28.7667,114.6,63.01,72,75,10.36,broken clouds
93,Okhansk,RU,57.7186,55.3877,46.47,84,100,6.73,light rain
94,Arraial Do Cabo,BR,-22.9661,-42.0278,70.81,75,22,27.27,few clouds
95,Bambous Virieux,MU,-20.3428,57.7575,71.22,78,32,18.07,scattered clouds
96,Clyde River,CA,70.4692,-68.5914,28.69,76,68,4.61,broken clouds
97,Ures,MX,29.4333,-110.4,87.85,36,100,4.99,overcast clouds
98,Olafsvik,IS,64.8945,-23.7142,42.19,76,93,39.55,overcast clouds
99,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,18.41,scattered clouds
100,Dhandhuka,IN,22.3667,71.9833,79.63,82,100,9.28,overcast clouds
101,Kahului,US,20.8947,-156.47,84.22,75,40,18.41,scattered clouds
102,Bubaque,GW,11.2833,-15.8333,82.69,76,93,8.46,overcast clouds
103,Sorong,ID,-0.8833,131.25,78.22,85,100,4.29,light rain
