City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Netarhat,IN,2021-09-23 21:13:12,23.4833,84.2667,65.73,98,67,4.27
67,Rudnogorsk,RU,2021-09-23 21:13:12,57.2639,103.7519,36.12,98,99,5.14
68,Necochea,AR,2021-09-23 21:00:15,-38.5473,-58.7368,55.8,80,52,7.7
69,Puerto Ayora,EC,2021-09-23 21:13:13,-0.7393,-90.3518,70.56,83,82,11.03
70,Souillac,MU,2021-09-23 21:01:56,-20.5167,57.5167,70.36,84,73,14.29
71,Sampit,ID,2021-09-23 21:05:18,-2.5333,112.95,75.18,96,100,1.19
72,Gibara,CU,2021-09-23 21:13:14,21.1097,-76.1317,90.72,65,10,12.71
73,Salalah,OM,2021-09-23 21:13:15,17.0151,54.0924,84.29,79,75,5.75
74,Isangel,VU,2021-09-23 21:13:15,-19.55,169.2667,72.28,70,36,16.31
75,Hithadhoo,MV,2021-09-23 21:13:15,-0.6,73.0833,80.49,84,100,17.87
76,Xichang,CN,2021-09-23 21:13:16,27.8964,102.2634,63.07,88,40,1.01
77,Kamenka,RU,2021-09-23 21:04:25,51.3223,42.7678,45.9,71,99,2.06
78,Goulburn,AU,2021-09-23 21:13:17,-34.75,149.7167,50.65,83,32,14.99
79,Albany,US,2021-09-23 21:11:03,42.6001,-73.9662,78.64,76,100,13.35
80,Pemangkat,ID,2021-09-23 21:04:07,1.1667,108.9667,77.4,89,97,5.66
81,Tazovskiy,RU,2021-09-23 21:13:17,67.4667,78.7,34.18,80,93,10.56
82,Tuktoyaktuk,CA,2021-09-23 21:03:18,69.4541,-133.0374,33.8,86,75,3.44
83,Nanortalik,GL,2021-09-23 21:13:18,60.1432,-45.2371,36.39,78,11,20.92
84,Presidencia Roque Saenz Pena,AR,2021-09-23 21:04:33,-26.7852,-60.4388,79.86,29,37,6.69
85,Kenai,US,2021-09-23 21:05:32,60.5544,-151.2583,43.14,73,90,24.16
86,Ahipara,NZ,2021-09-23 21:03:27,-35.1667,173.1667,57.94,83,94,13.89
87,Yar-Sale,RU,2021-09-23 21:04:10,66.8333,70.8333,39.78,86,100,12.86
88,Vilhena,BR,2021-09-23 21:13:19,-12.7406,-60.1458,93.67,22,80,5.37
89,Port Alfred,ZA,2021-09-23 21:13:20,-33.5906,26.891,62.35,72,68,18.88
90,Te Anau,NZ,2021-09-23 21:13:20,-45.4167,167.7167,45.25,76,47,7.14
